Abbreviation of the operating point,Name of the operating point,Abkuerzung Betriebspunkt Strecke,Name of operating point distance,LINIE,Kilometry of the operating point,LINIENNAME,VERWALTUNG,E,N,BPUIC,Didok Nummer,Name Haltestelle,lod,geopos_x,geopos_y
BSVL,Basel SBB GB VL,BSGB,Basel SBB GB,512,121.22952,Ruchfeld - Basel SBB GB St.Jakob,SBB,2613100.115,1265369.81,8500047,47,Basel SBB GB VL,http://lod.opentransportdata.swiss/didok/8500047,47.5389256093,7.61261183866
BUE,Bulach,BUE,Bulach,760,20.272479999999998,Zurich Hardbrucke  - Bulach,SBB,2682660.579,1264267.926,8503400,3400,Bülach,http://lod.opentransportdata.swiss/didok/8503400,47.5239499588,8.53620921292
BUE,Bulach,BUE,Bulach,769,16.25824,Winterthur West - Bulach,SBB,2682660.579,1264267.926,8503400,3400,Bülach,http://lod.opentransportdata.swiss/didok/8503400,47.5239499588,8.53620921292
BUET,Butschwil,BUET,Butschwil,853,12.925510000000001,Wil Sud - Wattwil - Uznach,SBB,2723625.228,1246704.953,8506203,6203,Bütschwil,http://lod.opentransportdata.swiss/didok/8506203,47.3595912248,9.07515108926
BURN,Buchrain,BURN,Buchrain,660,57.065,Thalwil - Zug - Fluhmuhle,SBB,2669698.653,1216256.7179999999,8516350,16350,Buchrain,http://lod.opentransportdata.swiss/didok/8516350,47.0936499334,8.35665846265
BV,Bevaix,BV,Bevaix,210,62.279219999999995,Daillens - Biel/Bienne,SBB,2552254.123,1197813.926,8504206,4206,Bevaix,http://lod.opentransportdata.swiss/didok/8504206,46.9296962618,6.81168022806
BW,Beinwil am See,BW,Beinwil am See,651,27.203590000000002,Hubeli - Beinwil - Lenzburg,SBB,2657787.244,1235427.055,8502034,2034,Beinwil am See,http://lod.opentransportdata.swiss/didok/8502034,47.2672198143,8.20223549104
BWL,Birrwil,BWL,Birrwil,651,29.51503,Hubeli - Beinwil - Lenzburg,SBB,2657521.485,1237718.9540000001,8502033,2033,Birrwil,http://lod.opentransportdata.swiss/didok/8502033,47.2878565649,8.19901726528
BWY,Bern Wyler,BWY,Bern Wyler,450,103.36806,Olten Sud - Bern,SBB,2601647.8959999997,1201725.041,8519030,19030,Bern Wyler,http://lod.opentransportdata.swiss/didok/8519030,46.9665979143,7.46028541655
BX,Buix,BX,Buix,240,121.45023,Delemont - Delle,SBB,2569196.944,1258810.209,8500144,144,Buix,http://lod.opentransportdata.swiss/didok/8500144,47.479333265,7.0299672105
BYSC,Bussigny-Scheuchzer (bif),BY,Bussigny,169,14.506089999999999,Lausanne-Triage sect. - Bussigny,SBB,2532268.258,1155225.247,8515313,15313,Bussigny-Scheuchzer (bif),http://lod.opentransportdata.swiss/didok/8515313,46.5448766674,6.55556957668
BZ,Bressonnaz,BZ,Bressonnaz,251,36.065,Palezieux Est - Lyss Nord,SBB,2550445.066,1167084.669,8504019,4019,Bressonnaz,http://lod.opentransportdata.swiss/didok/8504019,46.6531516144,6.79126313714
CABS,Carouge-Bachet saut du Km,CABA,Lancy-Bachet,152,65.42644,St-Jean - Geneve-Eaux-Vives - Annemasse,SBB,2498705.227,1114616.116,8518336,18336,Carouge-Bachet saut du Km,http://lod.opentransportdata.swiss/didok/8518336,46.1753773838,6.12691510496
CABV,Monthey Centre agr Bas-V (embr,CABV,Monthey Centre agr Bas-V (embr,131,9.087,Les Paluds - St-Gingolph (Frontiere),SBB,2561713.097,1125598.279,8501436,1436,Monthey Centre agr Bas-V (embr,http://lod.opentransportdata.swiss/didok/8501436,46.2807072598,6.94190189268
CAMN,Camorino Nord,CAMO,Camorino (dira),580,227.24318,CBT Est,SBB,2719509.749,1113079.876,8515977,15977,Camorino Nord,http://lod.opentransportdata.swiss/didok/8515977,46.1585963483,8.98580623937
CAMS,Camorino Sud,CAMO,Camorino (dira),580,228.14415,CBT Est,SBB,2719679.5360000003,1112195.074,8515978,15978,Camorino Sud,http://lod.opentransportdata.swiss/didok/8515978,46.1506083737,8.98777758232
CAMS,Camorino Sud,CAMO,Camorino (dira),592,228.14415,Verbindungslinie CBT Ovest Camorino Sud,SBB,2719679.5360000003,1112195.074,8515978,15978,Camorino Sud,http://lod.opentransportdata.swiss/didok/8515978,46.1506083737,8.98777758232
CC,Concise,CC,Concise,210,50.751999999999995,Daillens - Biel/Bienne,SBB,2545432.736,1189110.287,8504203,4203,Concise,http://lod.opentransportdata.swiss/didok/8504203,46.8508815711,6.72315746125
CDM,Champ-du-Moulin,CDM,Champ-du-Moulin,219,13.64584,Auvernier - Les Verrieres frontiere,SBB,2549488.417,1201195.9170000001,8504217,4217,Champ-du-Moulin,http://lod.opentransportdata.swiss/didok/8504217,46.9599117835,6.77498900486
CHNF,Chambrelien (cul-de-sac),CHN,Chambrelien,223,10.73519,Neuchatel-Vauseyon - Chambrelien,SBB,2552058.431,1201788.636,8515315,15315,Chambrelien (cul-de-sac),http://lod.opentransportdata.swiss/didok/8515315,46.9654341961,6.80869076145
CHSN,Chiasso Smistamento Nord (bif),CHSM,Chiasso Smistamento,638,204.52403,Balerna SM - Chiasso Smistamento,SBB,2721646.4669999997,1077852.59,8515394,15394,Chiasso Smistamento Nord (bif),http://lod.opentransportdata.swiss/didok/8515394,45.841391918,9.00435921039
CHV,Chavornay,CHV,Chavornay,211,27.45883,Chavornay - Orbe,SBB,2533438.279,1173578.838,8501112,1112,Chavornay,http://lod.opentransportdata.swiss/didok/8501112,46.7100845475,6.56816325981
CL,Clarens,CL,Clarens,100,23.0952,Lausanne - Simplon Tunnel I - Iselle,SBB,2558283.195,1143633.665,8501203,1203,Clarens,http://lod.opentransportdata.swiss/didok/8501203,46.4427382543,6.89578000213
COG,Corgemont,COG,Corgemont,225,50.22,Biel/Bienne West - La Chaux-de-Fonds,SBB,2577722.5609999998,1226981.14,8504305,4305,Corgémont,http://lod.opentransportdata.swiss/didok/8504305,47.1933987679,7.14466144647
COTD,Cottendart (embr),BOLE,Bole,219,7.6866,Auvernier - Les Verrieres frontiere,SBB,2554879.583,1202417.387,8504339,4339,Cottendart (embr),http://lod.opentransportdata.swiss/didok/8504339,46.9712879285,6.84569599258
COUS,Cousset,COUS,Cousset,253,31.76659,Payerne Est - Fribourg Nord,SBB,2564808.571,1185376.409,8504136,4136,Cousset,http://lod.opentransportdata.swiss/didok/8504136,46.8186048895,6.97749111753
CRET,Le Cret-du-Locle,CRET,Le Cret-du-Locle,224,33.4,Chambrelien Nord - Le Locle (Frontiere),SBB,2550327.458,1214232.145,8504315,4315,Le Crêt-du-Locle,http://lod.opentransportdata.swiss/didok/8504315,47.0772326779,6.78458131772
CRNE,Cressier NE,CRNE,Cressier NE,210,85.55013000000001,Daillens - Biel/Bienne,SBB,2569675.446,1211291.453,8504224,4224,Cressier NE,http://lod.opentransportdata.swiss/didok/8504224,47.0519527784,7.03953212505
CTM,Courtemaiche,CTM,Courtemaiche,240,117.9938,Delemont - Delle,SBB,2571099.681,1256191.682,8500127,127,Courtemaîche,http://lod.opentransportdata.swiss/didok/8500127,47.4558691657,7.05538016199
CTT,Courtetelle,CTT,Courtetelle,240,87.86985,Delemont - Delle,SBB,2590879.9590000003,1243559.687,8500120,120,Courtételle,http://lod.opentransportdata.swiss/didok/8500120,47.3428290356,7.31794278141
CU,Cully,CU,Cully,100,8.52314,Lausanne - Simplon Tunnel I - Iselle,SBB,2545371.351,1148831.252,8501124,1124,Cully,http://lod.opentransportdata.swiss/didok/8501124,46.4885617736,6.72715145406
DAIB,Daillens (bif),DAIL,Daillens,210,19.115,Daillens - Biel/Bienne,SBB,2531684.457,1165528.873,8515319,15319,Daillens (bif),http://lod.opentransportdata.swiss/didok/8515319,46.6374980604,6.54642852152
DAY,Le Day,DAY,Le Day,200,43.27865,Renens VD Ouest - Vallorbe,SBB,2520608.03,1174651.979,8501104,1104,Le Day,http://lod.opentransportdata.swiss/didok/8501104,46.7173763767,6.40066878869
DAY,Le Day,DAY,Le Day,201,3.02648,Le Day - Le Brassus,SBB,2520608.03,1174651.979,8501104,1104,Le Day,http://lod.opentransportdata.swiss/didok/8501104,46.7173763767,6.40066878869
DEN,Denges-Echandens,DEN,Denges-Echandens,150,8.3784,Lausanne - Geneve-Aeroport,SBB,2531092.813,1153487.6940000001,8501045,1045,Denges-Echandens,http://lod.opentransportdata.swiss/didok/8501045,46.5291270593,6.54050544475
DENB,Denges B (bif),DEN,Denges-Echandens,150,8.0305,Lausanne - Geneve-Aeroport,SBB,2531389.208,1153666.781,8515323,15323,Denges B (bif),http://lod.opentransportdata.swiss/didok/8515323,46.5307684847,6.5443417258
DENB,Denges B (bif),DEN,Denges-Echandens,163,8.0305,Lausanne-Triage D - Denges B,SBB,2531389.208,1153666.781,8515323,15323,Denges B (bif),http://lod.opentransportdata.swiss/didok/8515323,46.5307684847,6.5443417258
DKRB,Daniken RB,DKRB,Daniken RB,540,45.0,Olten - Woschnau,SBB,2640245.077,1244866.3229999999,8516159,16159,Däniken RB,http://lod.opentransportdata.swiss/didok/8516159,47.3534202455,7.97128545373
DMT,Delemont,DMT,Delemont,226,84.6069,Sonceboz-Sombeval - Moutier - Delemont,SBB,2593309.758,1245689.284,8500109,109,Delémont,http://lod.opentransportdata.swiss/didok/8500109,47.3620126641,7.35006334994
DOP,Dompierre,DOP,Dompierre,251,63.657630000000005,Palezieux Est - Lyss Nord,SBB,2565432.7909999997,1189352.435,8504124,4124,Dompierre,http://lod.opentransportdata.swiss/didok/8504124,46.8544027173,6.98536879074
DOT,Dottikon-Dintikon,DOT,Dottikon-Dintikon,653,67.8927,Gexi Ost - Rotkreuz - Immensee West,SBB,2660124.7369999997,1247283.4109999998,8502212,2212,Dottikon-Dintikon,http://lod.opentransportdata.swiss/didok/8502212,47.3736465469,8.23471030566
DSH,Diessenhofen,DSH,Diessenhofen,820,38.18616,Etzwilen - Schaffhausen,SBB,2698632.514,1282474.82,8503428,3428,Diessenhofen,http://lod.opentransportdata.swiss/didok/8503428,47.6854682244,8.75229934462
DTLN,Dietlikon Nord (Vzw),DTLN,Dietlikon Nord (Vzw),9780,350.91098999999997,Bruttenertunnel West,SBB,2689246.815,1253159.031,8508289,8289,Dietlikon Nord (Vzw),http://lod.opentransportdata.swiss/didok/8508289,47.423186683,8.62142671758
DTLN,Dietlikon Nord (Vzw),DTLN,Dietlikon Nord (Vzw),9781,450.91848,Bruttenertunnel Ost,SBB,2689246.815,1253159.031,8508289,8289,Dietlikon Nord (Vzw),http://lod.opentransportdata.swiss/didok/8508289,47.423186683,8.62142671758
DUED,Dudingen,DUED,Dudingen,250,72.21455,Lausanne Est - Bern,SBB,2581018.424,1188910.003,8504101,4101,Düdingen,http://lod.opentransportdata.swiss/didok/8504101,46.8510524282,7.18975315769
EBSD,Ebikon Sud (Abzw),EBSD,Ebikon Sud (Abzw),9571,0.0,Ebikon Sud - Neustadttunnel West,SBB,2668172.0,1214774.0,8509008,9008,Ebikon Süd (Abzw),http://lod.opentransportdata.swiss/didok/8509008,47.0804726969,8.33632876586
EGL,Eglisau,EGL,Eglisau,701,22.247339999999998,Eglisau - Koblenz - Stein Sackingen Ost,SBB,2681106.759,1269631.163,8503402,3402,Eglisau,http://lod.opentransportdata.swiss/didok/8503402,47.5723745199,8.5165580286
EGN,Egnach,EGN,Egnach,825,84.72236,Romanshorn Feld H - Rorschach,SBB,2746369.3510000003,1267731.962,8506309,6309,Egnach,http://lod.opentransportdata.swiss/didok/8506309,47.5439912861,9.38301747017
EL,Elgg,EL,Elgg,850,126.14657,St.Gallen - Winterthur Nord,SBB,2707351.525,1261838.01,8506014,6014,Elgg,http://lod.opentransportdata.swiss/didok/8506014,47.4985290889,8.86341151986
ERL,Erlen,ERL,Erlen,840,69.7048,Winterthur Nord - Romanshorn,SBB,2734547.856,1268281.4109999998,8506107,6107,Erlen,http://lod.opentransportdata.swiss/didok/8506107,47.5514602667,9.22620203341
ERNA,Erstfeld Nord (Abzw),ER,Erstfeld,601,40.9214,Rynacht -  Erstfeld Nord Gleis links,SBB,2692249.255,1186817.354,8516699,16699,Erstfeld Nord (Abzw),http://lod.opentransportdata.swiss/didok/8516699,46.8261132398,8.6476657399
ESP,Essert-Pittet,ESP,Essert-Pittet,210,29.67427,Daillens - Biel/Bienne,SBB,2534414.919,1175523.475,8501111,1111,Essert-Pittet,http://lod.opentransportdata.swiss/didok/8501111,46.7276733658,6.58065583082
EW,Etzwilen,EW,Etzwilen,822,31.80917,Etzwilen - Konstanz,SBB,2703658.811,1279856.088,8506025,6025,Etzwilen,http://lod.opentransportdata.swiss/didok/8506025,47.6611446979,8.81861733248
EWW,Etzwilen West (Abzw),EW,Etzwilen,820,32.06207,Etzwilen - Schaffhausen,SBB,2703415.022,1279787.347,8515443,15443,Etzwilen West (Abzw),http://lod.opentransportdata.swiss/didok/8515443,47.6605651074,8.81535639795
EYSI,Eysins (embr),EYSI,Eysins (embr),159,2.6649700000000003,Nyon - Eysins,SBB,2505019.449,1137418.869,8516946,16946,Eysins (embr),http://lod.opentransportdata.swiss/didok/8516946,46.3813982461,6.20401488564
FACE,Faido cunicolo di acc. est,FACE,Faido cunicolo di acc. est,5004,2.66836,Faido cunicolo di accesso,SBB,2704977.025,1151048.178,8518495,18495,Faido cunicolo di acc est,http://lod.opentransportdata.swiss/didok/8518495,46.5025147804,8.80627490589
FE,Felsenau AG,FE,Felsenau AG,701,50.02189,Eglisau - Koblenz - Stein Sackingen Ost,SBB,2658846.067,1273058.538,8500328,328,Felsenau AG,http://lod.opentransportdata.swiss/didok/8500328,47.6055698958,8.22118327722
FEWA,Feldmeilen Wendeanlage,HERL,Herrliberg-Feldmeilen,730,17.43672,Zurich Stadelhofen - Rapperswil,SBB,2689463.77,1236945.947,8518251,18251,Feldmeilen Wendeanlage,http://lod.opentransportdata.swiss/didok/8518251,47.2773482379,8.62106382568
FF,Frauenfeld,FF,Frauenfeld,840,42.05133,Winterthur Nord - Romanshorn,SBB,2709725.5939999996,1268513.356,8506100,6100,Frauenfeld,http://lod.opentransportdata.swiss/didok/8506100,47.5581634412,8.89655962127
FFPP,Frauenfeld Paketpost,FF,Frauenfeld,843,44.44142,Frauenfeld - Frauenfeld Paketpost,SBB,2711569.126,1270008.868,8506147,6147,Frauenfeld Paketpost,http://lod.opentransportdata.swiss/didok/8506147,47.5713004902,8.92142469176
FG,Faoug,FG,Faoug,251,72.80485999999999,Palezieux Est - Lyss Nord,SBB,2572265.71,1195302.0790000001,8504127,4127,Faoug,http://lod.opentransportdata.swiss/didok/8504127,46.90824183,7.07460137994
FLM,Flamatt,FLM,Flamatt,257,-0.04402,Flamatt - Laupen - Gummenen,SBB,2590925.671,1193048.702,8504103,4103,Flamatt,http://lod.opentransportdata.swiss/didok/8504103,46.8884913393,7.31957079845
FOTN,Fontenette,CHHO,Geneve-Champel,152,67.87585,St-Jean - Geneve-Eaux-Vives - Annemasse,SBB,2500539.0,1115397.0,8502622,2622,Fontenette,http://lod.opentransportdata.swiss/didok/8502622,46.182674594,6.15049121734
FRE,Frenkendorf-Fullinsdorf,FRE,Frenkendorf-Fullinsdorf,500,12.19992,Basel SBB - Olten - Luzern,SBB,2621133.464,1261228.39,8500022,22,Frenkendorf-Füllinsdorf,http://lod.opentransportdata.swiss/didok/8500022,47.5014699912,7.71911047846
FRI,Fribourg/Freiburg,FRI,Fribourg/Freiburg,250,65.99265,Lausanne Est - Bern,SBB,2578046.796,1183594.722,8504100,4100,Fribourg/Freiburg,http://lod.opentransportdata.swiss/didok/8504100,46.8031481543,7.15104693583
FSMF,Faido SMF,FSMF,Faido SMF,594,240.34068,GBT West,SBB,2705320.209,1150534.113,8518304,18304,Faido SMF,http://lod.opentransportdata.swiss/didok/8518304,46.4978372112,8.810627956
FSMF,Faido SMF,FSMF,Faido SMF,598,240.34068,Cambiamento binari Faido SMF,SBB,2705320.209,1150534.113,8518304,18304,Faido SMF,http://lod.opentransportdata.swiss/didok/8518304,46.4978372112,8.810627956
GEAF,Geneve-Aeroport (cul-de-sac),GEAP,Geneve-Aeroport,150,66.6,Lausanne - Geneve-Aeroport,SBB,2497957.63,1121287.246,8515329,15329,Genève-Aéroport (cul-de-sac),http://lod.opentransportdata.swiss/didok/8515329,46.2352666525,6.11577721676
GEAP,Geneve-Aeroport,GEAP,Geneve-Aeroport,150,66.17882,Lausanne - Geneve-Aeroport,SBB,2497660.046,1120988.967,8501026,1026,Genève-Aéroport,http://lod.opentransportdata.swiss/didok/8501026,46.232538562,6.11198562378
GEC,Les Geneveys-sur-Coffrane,GEC,Les Geneveys-sur-Coffrane,224,16.8975,Chambrelien Nord - Le Locle (Frontiere),SBB,2555488.364,1207283.203,8504236,4236,Les Geneveys-sur-Coffrane,http://lod.opentransportdata.swiss/didok/8504236,47.0150963615,6.85321757986
GEFB,Geneve faisceau B,GE,Geneve,158,59.6,Geneve Poste 1 - Geneve FB - Geneve,SBB,2500119.5069999998,1119084.35,8501010,1010,Genève faisceau B,http://lod.opentransportdata.swiss/didok/8501010,46.215777813,6.14427028442
GELL,Gellert,GELL,Gellert,519,2.25327,Basel SBB - Gellert: Gleis 400,SBB,2613310.27,1266514.711,8500045,45,Gellert,http://lod.opentransportdata.swiss/didok/8500045,47.5492183321,7.61543719001
GEPF,Geneve-La-Praille (cul-de-sac),GEPR,Geneve-La-Praille,153,66.9,St-Jean - Geneve-La Praille,SBB,2499052.519,1115788.108,8515330,15330,Genève-La-Praille (cul-de-sac),http://lod.opentransportdata.swiss/didok/8515330,46.1859708722,6.13115828816
GEPO,Geneve Poste 1,GE,Geneve,150,59.4,Lausanne - Geneve-Aeroport,SBB,2500130.147,1119284.219,8501038,1038,Genève Poste 1,http://lod.opentransportdata.swiss/didok/8501038,46.2175771005,6.14436535858
GESE,Geneve-Secheron,GESE,Geneve-Secheron,150,58.86,Lausanne - Geneve-Aeroport,SBB,2500154.1859999998,1119824.517,8516283,16283,Genève-Sécheron,http://lod.opentransportdata.swiss/didok/8516283,46.2224403361,6.14456120159
GEXI,Gexi,GEXI,Gexi,650,30.21054,Killwangen West - Lenzburg - Daniken Ost,SBB,2656927.433,1249351.378,8502133,2133,Gexi,http://lod.opentransportdata.swiss/didok/8502133,47.3925293742,8.1926417889
GF,Glattfelden,GF,Glattfelden,770,19.395120000000002,Bulach - Eglisau - Neuhausen,SBB,2681707.4590000003,1266991.053,8503401,3401,Glattfelden,http://lod.opentransportdata.swiss/didok/8503401,47.548557954,8.52405520291
GIBU,Gilly-Bursinel,GIBU,Gilly-Bursinel,150,29.70298,Lausanne - Geneve-Aeroport,SBB,2512994.886,1144377.0559999999,8501032,1032,Gilly-Bursinel,http://lod.opentransportdata.swiss/didok/8501032,46.445068196,6.30636330196
GIUO,Giubiasco Ovest,GIU,Giubiasco,592,226.16896,Verbindungslinie CBT Ovest Camorino Sud,SBB,2719914.216,1113994.893,8515975,15975,Giubiasco Ovest,http://lod.opentransportdata.swiss/didok/8515975,46.1667539156,8.99127552848
GKD,Gelterkinden,GKD,Gelterkinden,500,24.05343,Basel SBB - Olten - Luzern,SBB,2630840.127,1257315.3390000002,8500027,27,Gelterkinden,http://lod.opentransportdata.swiss/didok/8500027,47.4658937287,7.84766726143
GLB,Glattbrugg,GLB,Glattbrugg,760,7.24569,Zurich Hardbrucke  - Bulach,SBB,2684513.691,1253939.107,8503310,3310,Glattbrugg,http://lod.opentransportdata.swiss/didok/8503310,47.4308267427,8.55885413606
GRUO,Gruonbach (Spw),GRUO,Gruonbach (Spw),605,30.38386,Sisikon - Gruonbach (Gleis links),SBB,2690182.6560000004,1196536.0690000001,8505140,5140,Gruonbach (Spw),http://lod.opentransportdata.swiss/didok/8505140,46.9151600374,8.62387995177
HB,Herzogenbuchsee,HB,Herzogenbuchsee,450,66.79460999999999,Olten Sud - Bern,SBB,2619881.9359999998,1226381.482,8508008,8008,Herzogenbuchsee,http://lod.opentransportdata.swiss/didok/8508008,47.1880861101,7.70095832122
HBK,Hindelbank,HBK,Hindelbank,450,89.725,Olten Sud - Bern,SBB,2608113.813,1210953.732,8508003,8003,Hindelbank,http://lod.opentransportdata.swiss/didok/8508003,47.0495637428,7.54541056124
HBTS,Hauenstein Sud (Spw),HBTS,Hauenstein Sud (Spw),500,34.035,Basel SBB - Olten - Luzern,SBB,2635382.48,1249426.086,8500247,247,Hauenstein Süd (Spw),http://lod.opentransportdata.swiss/didok/8500247,47.3947099257,7.90728858313
HEBG,Heerbrugg,HEBG,Heerbrugg,880,47.928540000000005,Sargans Ost - St.Gallen,SBB,2765164.418,1253367.757,8506317,6317,Heerbrugg,http://lod.opentransportdata.swiss/didok/8506317,47.410392533,9.6272488558
HEIM,Heimbach (Spw),HEIM,Heimbach (Spw),500,93.36013,Basel SBB - Olten - Luzern,SBB,2665415.876,1211055.616,8515732,15732,Heimbach (Spw),http://lod.opentransportdata.swiss/didok/8515732,47.0473057744,8.29950175205
HGV,Les Hauts-Geneveys,HGV,Les Hauts-Geneveys,224,20.988429999999997,Chambrelien Nord - Le Locle (Frontiere),SBB,2557145.39,1210837.564,8504237,4237,Les Hauts-Geneveys,http://lod.opentransportdata.swiss/didok/8504237,47.0471765271,6.87467312966
HOT,Horchental,HOT,Horchental,880,70.2,Sargans Ost - St.Gallen,SBB,2750900.8430000003,1260008.822,8515168,15168,Horchental,http://lod.opentransportdata.swiss/didok/8515168,47.4735274861,9.44057095403
HRK,Harkingen Post,HRK,Harkingen Post,410,47.44768,Olten - Solothurn - Biel/Bienne,SBB,2628715.549,1241263.084,8500232,232,Härkingen Post,http://lod.opentransportdata.swiss/didok/8500232,47.3216141376,7.81845976716
HUER,Hurlistein (Abzw),HUER,Hurlistein (Abzw),751,14.77094,ZH Langstr. - Wallisellen - Winterthur,SBB,2692417.15,1253125.862,8503338,3338,Hürlistein (Abzw),http://lod.opentransportdata.swiss/didok/8503338,47.4224509409,8.66343003186
HUER,Hurlistein (Abzw),HUER,Hurlistein (Abzw),752,18.254929999999998,Zurich Oerlikon Nord - Hurlistein (Abzw),SBB,2692417.15,1253125.862,8503338,3338,Hürlistein (Abzw),http://lod.opentransportdata.swiss/didok/8503338,47.4224509409,8.66343003186
HUEW,Huntwangen-Wil,HUEW,Huntwangen-Wil,770,23.60162,Bulach - Eglisau - Neuhausen,SBB,2680814.091,1270616.202,8503403,3403,Hüntwangen-Wil,http://lod.opentransportdata.swiss/didok/8503403,47.581268881,8.51284803608
HURO,Hurlistein Ost,HUER,Hurlistein (Abzw),751,15.240070000000001,ZH Langstr. - Wallisellen - Winterthur,SBB,2692878.8310000002,1253042.476,8518271,18271,Hürlistein Ost,http://lod.opentransportdata.swiss/didok/8518271,47.4216361267,8.66953034666
HURO,Hurlistein Ost,HUER,Hurlistein (Abzw),756,15.240870000000001,Ueberwerfung Hurlistein,SBB,2692878.8310000002,1253042.476,8518271,18271,Hürlistein Ost,http://lod.opentransportdata.swiss/didok/8518271,47.4216361267,8.66953034666
HURW,Hurlistein West,HUER,Hurlistein (Abzw),756,13.68029,Ueberwerfung Hurlistein,SBB,2691345.703,1253329.672,8518270,18270,Hürlistein West,http://lod.opentransportdata.swiss/didok/8518270,47.4244333608,8.64927403236
ISL,Islikon,ISL,Islikon,840,38.05057,Winterthur Nord - Romanshorn,SBB,2705956.2739999997,1267295.91,8506019,6019,Islikon,http://lod.opentransportdata.swiss/didok/8506019,47.5478349177,8.84619697706
KAAG,Kaiserstuhl AG,KAAG,Kaiserstuhl AG,701,30.19755,Eglisau - Koblenz - Stein Sackingen Ost,SBB,2673787.099,1268875.986,8503413,3413,Kaiserstuhl AG,http://lod.opentransportdata.swiss/didok/8503413,47.5664467363,8.41916250191
KAIO,Kaisten Ost (Abzw),KAIO,Kaisten Ost (Abzw),701,66.90019000000001,Eglisau - Koblenz - Stein Sackingen Ost,SBB,2645700.47,1267119.902,8515448,15448,Kaisten Ost (Abzw),http://lod.opentransportdata.swiss/didok/8515448,47.5532083269,8.04576431725
KAU,Kaiseraugst,KAU,Kaiseraugst,700,76.9769,Brugg - Pratteln Ost,SBB,2621497.1319999998,1265346.5159999998,8500300,300,Kaiseraugst,http://lod.opentransportdata.swiss/didok/8500300,47.5384957627,7.72413551606
KBD,Koblenz Dorf,KBD,Koblenz Dorf,701,46.92473,Eglisau - Koblenz - Stein Sackingen Ost,SBB,2660268.9669999997,1273497.245,8503411,3411,Koblenz Dorf,http://lod.opentransportdata.swiss/didok/8503411,47.6093861294,8.24016393754
KIL,Kilchberg,KIL,Kilchberg,720,8.63617,ZH Langstrasse - Thalwil - Ziegelbrucke,SBB,2683863.3430000003,1242099.4270000001,8503200,3200,Kilchberg,http://lod.opentransportdata.swiss/didok/8503200,47.324431597,8.54801636547
KLW,Killwangen-Spreitenbach,KLW,Killwangen-Spreitenbach,691,16.11166,RBL Kopf Zurich - Killwangen West,SBB,2669072.525,1254017.0320000001,8503506,3506,Killwangen-Spreitenbach,http://lod.opentransportdata.swiss/didok/8503506,47.4333288409,8.35421393402
KLWW,Killwangen West (Abzw),KLW,Killwangen-Spreitenbach,698,16.511589999999998,Killwangen West -411- Heitersbergl. Ost,SBB,2668725.525,1254231.03,8515450,15450,Killwangen West (Abzw),http://lod.opentransportdata.swiss/didok/8515450,47.4352897624,8.34964761959
KNO,Knonau,KNO,Knonau,711,31.72842,ZH Hardbrucke - Kollermuhle,SBB,2677870.745,1230435.549,8502226,2226,Knonau,http://lod.opentransportdata.swiss/didok/8502226,47.2202643539,8.46673125626
KPT,Kempraten,KPT,Kempraten,730,33.831990000000005,Zurich Stadelhofen - Rapperswil,SBB,2704159.478,1232854.504,8503112,3112,Kempraten,http://lod.opentransportdata.swiss/didok/8503112,47.238397692,8.81431098566
KRA,Kradolf,KRA,Kradolf,852,2.1194,Sulgen - Gossau SG,SBB,2732761.35,1265267.281,8506216,6216,Kradolf,http://lod.opentransportdata.swiss/didok/8506216,47.5247224284,9.20157506019
KRH,Kreuzlingen Hafen,KRH,Kreuzlingen Hafen,823,61.801919999999996,Kreuzlingen - Kreuzlingen Hafen,SBB,2730978.6610000003,1279067.571,8506128,6128,Kreuzlingen Hafen,http://lod.opentransportdata.swiss/didok/8506128,47.6491639478,9.18198225404
KUE,Kussnacht am Rigi,KUE,Kussnacht am Rigi,570,16.19395,Gutsch - Kussnacht - Immensee,SBB,2675547.817,1215209.985,8505002,5002,Küssnacht am Rigi,http://lod.opentransportdata.swiss/didok/8505002,47.0835941099,8.43351749599
KZ,Kerzers,KZ,Kerzers,251,84.81079,Palezieux Est - Lyss Nord,SBB,2581294.9680000003,1202697.231,8504400,4400,Kerzers,http://lod.opentransportdata.swiss/didok/8504400,46.9750789544,7.19281019439
KZW,Kerzers West (Abzw),KZ,Kerzers,258,21.96598,Kerzers West - Kerzers BLS,SBB,2581239.596,1202539.827,8518338,18338,Kerzers West (Abzw),http://lod.opentransportdata.swiss/didok/8518338,46.9736615574,7.1920890556
LAN,Langwiesen,LAN,Langwiesen,820,45.33157,Etzwilen - Schaffhausen,SBB,2691880.84,1282141.3,8503426,3426,Langwiesen,http://lod.opentransportdata.swiss/didok/8503426,47.6834509702,8.66232019933
LB,Lenzburg,LB,Lenzburg,650,31.936120000000003,Killwangen West - Lenzburg - Daniken Ost,SBB,2655249.091,1249187.66,8502119,2119,Lenzburg,http://lod.opentransportdata.swiss/didok/8502119,47.3911997555,8.1703928761
LBW,Lenzburg West (Abzw),LB,Lenzburg,651,42.4911,Hubeli - Beinwil - Lenzburg,SBB,2654909.42,1249348.182,8515407,15407,Lenzburg West (Abzw),http://lod.opentransportdata.swiss/didok/8515407,47.3926718333,8.1659139374
